name,create_date,total_pull_requests,total_releases,last_commit_date,main_language,total_issues,total_stars
'WantWords',2020,0,0,'2022-02-23T11:52:37Z','JavaScript',24,6989
'mautic',2013,5268,153,'2024-08-23T11:46:23Z','PHP',6935,6968
'vex',2013,41,21,'2018-02-25T16:16:54Z','CSS',162,6926
'open-saas',2023,76,0,'2024-08-23T10:08:06Z','TypeScript',104,6917
'pdfGPT',2023,13,0,'2024-01-23T17:45:23Z','Python',53,6893
'h2o-3',2014,5980,0,'2024-08-23T22:15:36Z','Jupyter Notebook',6654,6844
'alternative-front-ends',2020,43,0,'2023-07-19T21:34:36Z','N/A',76,6835
'checkov',2019,4220,1000,'2024-08-21T23:01:40Z','Python',1634,6831
'Pixelorama',2019,520,27,'2024-08-23T14:30:30Z','GDScript',271,6831
'horizon',2015,234,1,'2021-01-26T23:31:29Z','JavaScript',379,6782
'librephotos',2020,460,0,'2024-08-24T13:29:20Z','Python',585,6779
'openvino',2018,18481,47,'2024-08-25T10:28:11Z','C++',2347,6707
'InterviewThis',2013,19,0,'2017-04-17T16:18:11Z','N/A',2,6707
'OpenNMT-py',2017,964,50,'2024-06-27T17:56:21Z','Python',1429,6694
'lago',2022,191,115,'2024-08-19T13:40:12Z','Shell',179,6650
'DeepPavlov',2017,847,64,'2024-08-12T17:08:04Z','Python',615,6640
'android-open-project-analysis',2014,37,0,'2019-04-07T10:01:20Z','N/A',13,6632
'BasicSR',2018,65,18,'2024-05-17T07:34:46Z','Python',263,6608
'monkey',2015,2452,19,'2024-08-13T17:47:56Z','Python',1305,6604
'backgroundremover',2021,12,16,'2024-05-01T21:53:52Z','Python',89,6581
'RemixIcon',2018,13,27,'2024-06-14T06:30:04Z','Less',370,6580
'E2B',2023,203,198,'2024-08-07T09:52:59Z','TypeScript',113,6555
'ideas',2016,13,0,'2022-08-11T07:45:28Z','N/A',102,6549
'panel',2015,766,124,'2024-07-05T19:22:47Z','PHP',3293,6513
'hyperdx',2023,361,13,'2024-08-08T21:58:19Z','TypeScript',41,6507
'wysihtml5',2011,22,0,'2014-12-18T17:26:41Z','JavaScript',203,6492
'EasyDarwin',2014,17,2,'2024-05-21T07:40:45Z','Go',120,6489
'fiora',2016,217,0,'2023-07-10T09:23:18Z','TypeScript',216,6488
'openwhisk',2016,2247,3,'2024-08-22T09:55:44Z','Scala',1696,6460
'cocos-engine',2015,12968,0,'2024-08-23T06:41:20Z','C++',2144,6450
'JUCE',2012,2,34,'2024-07-29T11:47:03Z','C++',536,6442
'freeboard',2013,16,0,'2018-03-07T17:34:26Z','JavaScript',76,6435
'clarity',2016,2469,165,'2022-05-05T19:42:23Z','TypeScript',3733,6430
'Relativty',2017,40,7,'2024-02-06T21:55:23Z','C++',19,6428
'FlClash',2023,1,65,'2024-08-25T15:40:13Z','Dart',167,6419
'azerothcore-wotlk',2016,8906,13,'2024-08-25T13:01:37Z','C++',7103,6355
'community-edition',2016,178,43,'2022-04-21T20:52:34Z','JavaScript',0,6354
'ORB_SLAM3',2020,5,4,'2022-02-10T08:26:50Z','C++',309,6350
'shapez.io',2020,644,16,'2024-05-04T09:32:09Z','JavaScript',461,6345
'formbricks',2022,2025,58,'2024-08-23T19:31:57Z','TypeScript',625,6329
'univer',2022,1840,33,'2024-08-25T16:30:51Z','TypeScript',924,6324
'athens',2020,1188,114,'2022-12-12T17:44:04Z','Clojure',487,6315
'winmerge',2014,998,126,'2024-08-18T00:09:13Z','C++',507,6292
'open-resume',2023,5,0,'2023-08-07T07:33:55Z','TypeScript',17,6277
'humhub',2014,2082,152,'2024-08-23T11:55:58Z','PHP',3822,6274
'heyform',2024,17,6,'2024-08-24T00:44:47Z','TypeScript',43,6269
'osrm-backend',2011,1914,27,'2024-08-03T20:32:37Z','C++',4152,6263
'fonoster',2018,260,0,'2024-08-19T15:42:14Z','JavaScript',114,6263
'btcpayserver',2017,2574,120,'2024-08-22T09:52:53Z','C#',2247,6256
'arkime',2012,1277,64,'2024-08-23T11:22:55Z','JavaScript',1362,6243
'PrivateBin',2016,412,31,'2024-08-03T11:14:45Z','PHP',683,6242
'mumble',2011,2001,44,'2024-08-20T18:23:16Z','C++',2379,6224
'mockoon',2017,316,50,'2024-08-06T08:47:24Z','TypeScript',686,6205
'self-driving-car',2016,34,0,'2021-11-25T10:41:52Z','Jupyter Notebook',0,6203
'network_proxy_flutter',2023,8,14,'2024-08-25T05:33:53Z','Dart',212,6197
'OpenTTD',2018,3698,46,'2024-08-24T21:11:04Z','C++',8224,6185
'charts.css',2020,40,14,'2023-11-19T10:25:29Z','HTML',18,6185
'winbox',2021,16,28,'2023-12-21T09:08:34Z','JavaScript',102,6181
'RTranslator',2020,9,12,'2024-07-25T11:36:26Z','C++',38,6127
'dgiot',2021,34,53,'2024-08-23T02:20:41Z','Erlang',204,6118
'riot',2017,31,1,'2020-10-13T13:31:45Z','Go',40,6108
'awesome-workflow-engines',2015,103,0,'2024-08-13T19:12:51Z','N/A',17,6107
'idurar-erp-crm',2020,473,13,'2024-05-23T16:21:00Z','JavaScript',283,6088
'RemoveAdblockThing',2023,42,14,'2024-06-11T17:56:38Z','JavaScript',544,6011
'TaskingAI',2024,201,7,'2024-08-23T06:58:27Z','Python',58,5993
'OnlineJudge',2015,45,8,'2024-04-07T10:06:37Z','Python',259,5989
'growthbook',2021,1743,44,'2024-08-25T15:33:35Z','TypeScript',537,5935
'openstatus',2023,726,0,'2024-08-20T15:30:51Z','TypeScript',141,5922
'material-kit',2016,27,8,'2024-06-26T07:58:57Z','HTML',164,5905
'docuseal',2023,2,76,'2024-08-25T13:03:23Z','Ruby',201,5874
'florisboard',2020,389,88,'2024-08-23T13:59:55Z','Kotlin',1362,5766
'cloudquery',2020,15778,1000,'2024-08-24T02:27:14Z','Go',2056,5759
'openblocks',2022,93,8,'2023-03-28T10:03:04Z','TypeScript',159,5744
'tailwind-starter-kit',2019,16,1,'2023-12-04T16:39:26Z','CSS',14,5724
'papercups',2020,501,1,'2022-05-10T20:59:16Z','Elixir',294,5718
'lesspass',2015,99,0,'2024-07-23T12:03:07Z','JavaScript',546,5710
'btrfs',2016,9,28,'2024-08-13T14:19:19Z','C',473,5689
'u2020',2013,209,0,'2017-11-27T19:04:02Z','Java',70,5682
'veloren',2018,28,2,'2024-08-25T17:18:30Z','Rust',53,5680
'ponyc',2012,2228,122,'2024-06-01T18:39:19Z','C',1678,5670
'flat',2020,1928,30,'2024-07-12T11:25:19Z','TypeScript',86,5666
'massCode',2022,135,37,'2024-02-19T05:00:44Z','Vue',90,5662
'boring-avatars',2020,9,8,'2024-08-09T10:45:27Z','JavaScript',52,5628
'FunASR',2022,869,4,'2024-08-22T06:07:50Z','Python',783,5622
'ResearchKit',2015,576,12,'2024-08-08T22:21:18Z','Objective-C',558,5601
'android-foss',2017,167,0,'2024-08-25T14:57:40Z','Shell',216,5598
'algodeck',2020,6,0,'2023-02-21T09:02:19Z','N/A',7,5592
'moodle',2009,5,0,'2024-08-23T14:04:48Z','PHP',0,5589
'IDM-Activation-Script',2023,0,5,'2024-04-09T23:31:29Z','Batchfile',26,5588
'jsdelivr',2012,14863,0,'2023-11-23T15:08:35Z','JavaScript',862,5571
'xrdp',2011,992,38,'2024-08-24T16:23:53Z','C',1518,5560
'NTrace-core',2022,85,76,'2024-07-16T11:05:05Z','Go',97,5551
'grbl',2009,49,0,'2021-01-23T00:15:51Z','C',1206,5518
'bunkerweb',2019,555,24,'2024-07-24T12:04:46Z','Python',365,5509
'openh264',2013,2369,17,'2024-08-21T02:20:45Z','C++',671,5482
'cryptpad',2014,343,126,'2024-08-02T13:13:48Z','JavaScript',879,5482
'keyviz',2022,55,6,'2024-05-15T09:47:02Z','Dart',99,5468
'camel',2009,11808,0,'2024-08-25T15:07:35Z','Java',0,5460
'dio-lab-open-source',2023,25864,0,'2024-08-25T18:52:31Z','Jupyter Notebook',4850,5450
'awesome-open-gpt',2023,12,0,'2024-05-07T08:02:05Z','Python',15,5449
'feast',2018,2527,106,'2024-08-25T14:19:54Z','Python',1243,5437
'wesnoth',2013,3943,0,'2024-08-25T13:36:27Z','C++',3013,5421
'awesome-nodejs-projects',2016,38,0,'2021-04-11T15:35:55Z','N/A',5,5404
'dokploy',2024,171,24,'2024-08-25T02:55:02Z','TypeScript',124,5395
'spacebarchat',2021,55,0,'2024-08-25T11:49:25Z','N/A',94,5379
'curriculum',2017,18,0,'2024-06-24T12:20:03Z','N/A',30,5378
'aws-lambda-power-tuning',2017,123,0,'2024-08-02T16:24:50Z','JavaScript',114,5350
'langfuse',2023,1654,235,'2024-08-24T15:36:50Z','TypeScript',390,5333
'unit',2017,167,0,'2024-08-21T20:46:16Z','C',760,5333
'openmw',2009,2750,24,'2024-08-25T07:42:43Z','C++',0,5298
'Cinder',2010,994,2,'2024-07-30T23:03:06Z','C++',616,5290
'CodeIgniter4',2015,5542,65,'2024-08-24T01:11:16Z','PHP',2458,5280
'up-for-grabs.net',2013,3791,0,'2024-08-21T14:31:09Z','JavaScript',194,5280
'kata-containers',2017,3854,93,'2024-08-23T21:51:01Z','Rust',3920,5266
'janusgraph',2016,2151,26,'2024-08-22T06:50:43Z','Java',1109,5243
'MISP',2013,2893,118,'2024-08-23T06:50:00Z','PHP',4034,5214
'fuelux',2012,845,54,'2022-02-12T15:28:50Z','JavaScript',0,5202
'webglstudio.js',2015,3,1,'2020-08-03T13:01:20Z','JavaScript',21,5202
'InternVL',2023,36,6,'2024-08-20T05:07:46Z','Python',392,5197
'openchat',2023,31,13,'2024-05-24T18:25:36Z','Python',59,5190
'dolibarr',2011,18519,73,'2024-08-25T14:35:01Z','PHP',7379,5186
'google-authenticator',2014,33,0,'2020-09-28T13:57:17Z','Java',505,5180
'mbedtls',2012,4066,64,'2024-08-22T18:56:27Z','C',2705,5169
'skateshop',2023,53,0,'2024-07-15T06:19:45Z','TypeScript',21,5152
'dear-github',2016,30,0,'2019-12-04T20:25:42Z','N/A',76,5147
'falcon',2016,252,32,'2020-04-16T12:16:50Z','JavaScript',177,5127
'agents',2023,106,0,'2024-07-18T06:00:22Z','Python',39,5118
'CompreFace',2020,698,11,'2023-11-14T08:13:44Z','Java',99,5115
'spin',2021,1525,42,'2024-08-22T16:11:40Z','Rust',699,5113
'aim',2019,1941,65,'2024-08-14T06:12:40Z','Python',664,5100
'themes',2023,172,0,'2024-08-07T11:12:37Z','TypeScript',239,5071
'coroot',2022,152,136,'2024-08-23T12:38:53Z','Go',83,5058
'Mirror',2018,2054,1000,'2024-08-22T07:09:58Z','C#',1052,5057
'AnimeGANv2',2020,0,1,'2022-08-03T16:33:43Z','Python',19,5052
'evidently',2020,820,88,'2024-08-23T21:17:00Z','Jupyter Notebook',213,5052
'zoneminder',2013,1735,89,'2024-08-22T23:09:15Z','PHP',1851,5012
'qiskit',2017,6862,122,'2024-08-23T16:40:59Z','Python',3832,4993
'Luyten',2013,25,17,'2021-03-17T20:09:12Z','Java',111,4980
'RWKV-Runner',2023,15,86,'2024-08-24T12:25:06Z','TypeScript',205,4971
'OpenSC2K',2018,11,0,'2019-09-22T18:50:46Z','JavaScript',36,4969
'aircraft',2020,2695,84,'2024-08-25T14:27:11Z','TypeScript',3911,4965
'solidus',2015,3718,160,'2024-08-19T09:31:31Z','Ruby',1010,4961
'graphhopper',2012,1062,43,'2024-08-23T10:08:08Z','Java',1383,4944
'spicedb',2021,1196,79,'2024-08-20T16:17:32Z','Go',376,4887
'fontsource',2020,509,0,'2024-08-25T15:53:32Z','TypeScript',297,4874
'interface',2017,3903,743,'2024-08-19T21:09:02Z','TypeScript',1461,4871
'CodeGen',2022,8,0,'2023-11-21T00:42:10Z','Python',36,4868
'inpaint-web',2023,39,0,'2024-04-27T04:57:45Z','TypeScript',14,4825
'01',2024,151,0,'2024-08-24T01:50:53Z','Python',54,4822
'Resume-Matcher',2020,143,2,'2024-06-07T07:15:42Z','Python',41,4820
'Messenger',2014,0,0,'2024-03-21T10:56:53Z','Swift',0,4801
'soketi',2021,279,77,'2024-03-25T05:42:14Z','TypeScript',165,4801
'tinyusb',2012,1185,13,'2024-08-22T16:21:43Z','C',457,4785
'faraday',2013,21,84,'2024-08-23T14:20:59Z','Python',389,4784
'naxsi',2011,99,23,'2023-11-08T09:27:13Z','C',485,4777
'tsuru',2012,1076,199,'2024-08-22T16:28:03Z','Go',1512,4776
'ThreatMapper',2020,1585,21,'2024-08-03T09:38:11Z','TypeScript',442,4753
'keto',2018,753,52,'2024-08-22T13:04:48Z','Go',279,4752
'asciidoctor',2012,1530,51,'2024-07-31T20:40:57Z','Ruby',2110,4751
'gdal',2012,6230,46,'2024-08-25T15:26:49Z','C++',3217,4745
'danfojs',2020,134,21,'2023-08-07T11:26:43Z','TypeScript',271,4742
'runelite',2016,4452,0,'2024-08-24T05:36:27Z','Java',7618,4728
'sitespeed.io',2012,1456,372,'2024-08-21T18:17:45Z','JavaScript',2355,4716
'oneuptime',2021,1012,573,'2024-08-23T14:44:21Z','TypeScript',261,4686
'flagsmith',2018,2827,331,'2024-08-23T08:25:41Z','Python',1079,4682
'anyRTC-RTMP-OpenSource',2016,45,1,'2024-06-12T09:40:26Z','C++',42,4674
'OpenLara',2016,98,11,'2024-05-13T21:18:35Z','C',224,4664
'meshlab',2016,220,26,'2024-07-26T12:31:41Z','C++',868,4652
'elFinder',2010,426,52,'2024-01-17T01:23:46Z','JavaScript',2889,4621
'data',2015,9,0,'2023-12-24T15:55:27Z','JavaScript',6,4602
'Natron',2018,222,26,'2024-08-01T07:52:35Z','C++',486,4602
'strider',2012,251,21,'2021-10-23T18:39:09Z','JavaScript',652,4594
'XiangShan',2020,2548,0,'2024-08-24T14:34:43Z','Scala',320,4592
'shattered-pixel-dungeon',2014,0,47,'2024-06-04T17:41:15Z','Java',1711,4581
'gantt',2016,56,0,'2024-04-30T11:22:07Z','JavaScript',196,4575
'legendary',2020,29,53,'2024-08-24T10:21:49Z','Python',400,4569
'librespot',2017,454,6,'2024-08-24T23:01:18Z','Rust',545,4554
'firebaseui-web',2016,202,50,'2023-12-08T17:24:28Z','JavaScript',560,4551
'VVV',2012,914,25,'2024-07-22T08:52:11Z','Shell',1519,4542
'passbolt_api',2016,20,100,'2024-08-14T09:19:49Z','PHP',412,4539
'cds',2016,5607,59,'2024-08-23T14:28:59Z','Go',1020,4538
'killbill',2012,734,146,'2024-08-21T22:52:17Z','Java',1010,4531
'QRCoder',2013,144,5,'2024-06-30T11:03:04Z','C#',300,4530
'crawler4j',2011,90,3,'2020-10-03T16:40:46Z','Java',142,4529
'inference',2023,876,78,'2024-08-25T01:29:43Z','Python',969,4515
'w3af',2011,106,4,'2020-06-16T11:27:26Z','Python',16666,4513
'coreui-free-react-admin-template',2017,53,66,'2024-06-12T11:13:34Z','JavaScript',297,4508
'desktop',2017,4488,0,'2024-08-23T19:14:57Z','TypeScript',0,4508
'super-gradients',2021,1170,49,'2024-08-08T11:47:49Z','Jupyter Notebook',562,4506
'automatisch',2021,1479,13,'2024-08-23T14:44:23Z','JavaScript',202,4503
'getwidget',2019,195,8,'2023-08-24T05:48:12Z','Dart',115,4496
'tensortrade',2019,121,6,'2024-06-09T21:29:43Z','Python',203,4488
'sqlitestudio',2018,275,11,'2024-08-23T05:35:02Z','C',3874,4486
'QloApps',2015,885,10,'2024-08-23T07:19:22Z','PHP',80,4483
'preline',2022,12,22,'2024-07-26T11:20:29Z','HTML',318,4471
'webstudio',2022,2661,142,'2024-08-24T18:50:47Z','TypeScript',854,4462
'AnimeGAN',2019,0,3,'2022-08-03T16:38:02Z','Python',39,4456
'public-sans',2016,153,10,'2024-06-14T13:22:18Z','HTML',75,4452
'opentoonz',2016,1917,26,'2024-08-18T21:52:23Z','C++',2553,4449
'machinelearning-samples',2018,381,6,'2024-04-29T20:02:02Z','PowerShell',328,4446
'gameplay',2011,1245,2,'2016-03-23T15:08:56Z','C++',0,4435
'awesome-reverse-engineering',2019,0,1,'2019-12-31T06:04:57Z','N/A',0,4428
'panda3d',2013,208,21,'2024-08-23T19:08:50Z','C++',667,4421
'maple-font',2022,22,42,'2024-08-21T02:29:53Z','Python',175,4406
'valhalla',2016,1990,56,'2024-08-21T17:56:08Z','C++',1610,4396
'ossec-hids',2013,905,29,'2024-05-10T22:38:59Z','C',707,4391
'Umbraco-CMS',2013,8460,16,'2024-08-25T14:31:51Z','C#',5382,4389
'ckan',2011,3321,5,'2024-08-21T12:12:31Z','Python',2835,4386
'opensource-ecommerce-mobile-app',2023,3,2,'2024-02-19T14:36:02Z','Dart',10,4382
'awesome-gis',2016,116,0,'2023-12-20T09:15:26Z','N/A',12,4371
'TNN',2020,859,1,'2023-09-27T09:15:24Z','C++',649,4371
'lucene-solr',2016,1401,0,'2021-11-24T16:25:14Z','N/A',0,4365
'scorecard',2020,2620,41,'2024-08-23T18:17:31Z','Go',776,4359
'SuiteCRM',2013,3216,224,'2024-08-13T07:06:58Z','PHP',3974,4351
'pivottable',2013,52,46,'2024-01-06T13:46:24Z','CoffeeScript',870,4337
'emissary',2017,2651,205,'2024-08-20T20:41:54Z','Python',1451,4333
'heml',2017,16,3,'2018-11-06T21:29:04Z','JavaScript',22,4329
'apostrophe',2013,2735,0,'2024-08-22T16:38:04Z','JavaScript',1384,4326
'opengrok',2013,1795,279,'2024-08-20T14:04:07Z','Java',1996,4323
'stlink',2011,528,10,'2024-08-11T14:53:39Z','C',741,4322
'zammad',2012,131,0,'2024-08-24T07:45:24Z','Ruby',4311,4313
'OpenNRE',2017,15,0,'2024-01-10T11:52:48Z','Python',353,4303
'OpenPrompt',2021,38,4,'2023-05-06T14:09:10Z','Python',174,4280
'iconify',2017,41,0,'2024-08-23T15:49:39Z','TypeScript',241,4279
'openmoonray',2023,0,7,'2024-07-15T23:21:12Z','CMake',23,4259
'training-kit',2013,559,11,'2024-05-27T14:14:40Z','HTML',183,4255
'bootflat.github.io',2014,7,5,'2016-04-13T01:35:17Z','HTML',27,4250
'errbit',2010,735,1,'2024-01-26T19:20:35Z','Ruby',524,4232
'OpenHub',2017,30,31,'2021-03-21T10:35:22Z','Java',124,4228
'openshot-qt',2015,838,24,'2024-07-31T20:22:40Z','Python',4341,4218
'mindspore',2020,1,0,'2024-07-28T23:35:15Z','C++',111,4210
'expose',2020,108,29,'2024-04-09T20:54:18Z','PHP',220,4206
'pannellum',2012,66,18,'2024-08-21T21:10:25Z','JavaScript',845,4195
'arkade',2020,502,246,'2024-08-19T13:13:47Z','Go',388,4184
'virtual-kubelet',2017,574,23,'2024-05-16T00:03:13Z','Go',322,4169
'taskcafe',2020,19,8,'2022-09-02T17:05:43Z','TypeScript',68,4165
'amplitudejs',2013,40,26,'2023-06-23T19:18:34Z','JavaScript',308,4164
'xunit',2013,225,0,'2024-08-25T01:26:08Z','C#',2092,4161
'sql-translator',2023,40,0,'2024-01-15T15:25:52Z','TypeScript',13,4152
'Tech-Interview-Cheat-Sheet',2019,13,0,'2022-09-23T20:52:18Z','TypeScript',3,4147
'SophiApp',2021,67,140,'2024-06-15T19:35:18Z','C#',43,4141
'vcmi',2014,2441,25,'2024-08-24T13:18:53Z','C++',1291,4140
'greptimedb',2022,3134,111,'2024-08-23T12:36:28Z','Rust',944,4140
'atrilabs-engine',2022,222,42,'2023-06-29T02:50:10Z','JavaScript',228,4131
'codebox',2013,84,32,'2015-04-23T18:26:47Z','JavaScript',266,4113
'helios',2013,16,0,'2014-12-08T14:23:30Z','CSS',0,4110
'dokuwiki',2010,1968,5,'2024-08-21T09:09:31Z','PHP',1230,4107
'rhino',2011,551,31,'2024-08-24T21:57:59Z','JavaScript',509,4107
'codemod',2009,44,1,'2019-10-08T01:27:22Z','Python',32,4107
'DataScienceResources',2014,2,0,'2021-11-04T21:21:20Z','N/A',0,4080
'Superalgos',2019,3601,37,'2024-01-31T18:29:38Z','JavaScript',381,4080
'capa',2020,1122,32,'2024-08-23T15:30:38Z','Python',744,4061
'ghostfolio',2021,2767,487,'2024-08-25T08:15:01Z','TypeScript',491,4045
'InvenTree',2017,4252,93,'2024-08-25T03:17:24Z','Python',2350,4042
'cellnet',2015,14,0,'2024-03-14T08:53:45Z','Go',84,4034
'ink',2016,111,33,'2024-06-19T16:17:58Z','C#',357,4030
'messenger',2013,21,0,'2018-03-28T00:22:34Z','JavaScript',52,4028
'grbl',2016,4,6,'2021-01-23T00:13:48Z','C',760,4019
'espeak-ng',2015,576,5,'2024-08-24T18:02:12Z','C',531,4008
'jitsu',2020,519,146,'2024-08-16T19:09:49Z','TypeScript',542,3998
'CorsixTH',2013,1066,40,'2024-08-09T21:19:30Z','Lua',1020,3981
'corda',2016,6202,15,'2024-08-15T09:36:19Z','Kotlin',582,3977
'docmost',2023,33,10,'2024-08-24T17:30:07Z','TypeScript',71,3959
'Attendize',2016,262,29,'2023-01-26T03:50:45Z','PHP',463,3959
'ThreatHunter-Playbook',2017,25,0,'2022-09-14T15:16:59Z','Python',27,3959
'privacy.sexy',2019,43,58,'2024-08-23T10:12:14Z','TypeScript',197,3942
'awesome-gbdev',2016,147,0,'2024-02-08T13:05:05Z','N/A',55,3941
'Hackintosh-Installer-University',2016,30,0,'2020-09-14T04:30:14Z','Rich Text Format',5,3939
'airframe-react',2019,5,0,'2024-05-27T09:27:59Z','JavaScript',16,3928
'space-cloud',2019,694,35,'2024-01-28T20:46:41Z','Go',710,3926
'komiser',2018,708,49,'2024-08-24T22:39:49Z','Go',394,3910
'NeMo-Guardrails',2023,182,15,'2024-08-23T12:44:37Z','Python',159,3904
'tapkulibrary',2009,9,1,'2016-09-13T22:01:20Z','Objective-C',205,3903
'openmoji',2017,195,11,'2024-07-29T07:31:53Z','HTML',222,3882
'status-mobile',2016,8400,51,'2024-08-22T15:15:44Z','Clojure',9893,3881
'giskard',2022,946,68,'2024-08-23T08:13:51Z','Python',426,3869
'Snap.Hutao',2022,306,84,'2024-08-13T02:14:49Z','C#',1468,3864
'mail-for-good',2016,80,0,'2019-12-18T18:04:13Z','JavaScript',183,3833
'libretaxi',2016,304,1,'2022-02-05T16:35:49Z','Go',403,3830
'turbopilot',2023,25,8,'2023-09-30T08:16:58Z','C++',25,3830
'iconoir',2018,102,58,'2024-08-13T07:18:07Z','TypeScript',256,3820
'recon-ng',2019,11,0,'2024-05-02T19:21:15Z','Python',131,3811
'sigma-file-manager',2021,15,9,'2024-04-30T08:41:18Z','C',106,3807
'open-source-flutter-apps',2017,95,0,'2024-03-15T15:32:48Z','Dart',11,3806
'open-next',2022,266,69,'2024-08-22T09:50:36Z','TypeScript',162,3805
'waveterm',2022,484,17,'2024-08-24T22:12:18Z','Go',82,3796
'homeland',2012,604,39,'2024-06-22T09:50:12Z','Ruby',579,3791
'open-source-cs-python',2020,1,0,'2022-05-10T20:31:15Z','N/A',3,3789
'OpenKE',2017,23,0,'2024-01-10T11:51:05Z','Python',357,3789
'unlighthouse',2021,34,123,'2024-07-15T09:50:05Z','JavaScript',124,3771
'ydb',2022,5444,16,'2024-08-25T18:58:35Z','C++',584,3764
'openwifi',2019,47,6,'2024-08-21T07:54:19Z','C',281,3763
'andOTP',2017,150,38,'2022-06-14T05:44:42Z','Java',599,3761
'open_source_team',2017,5,0,'2023-09-26T06:24:29Z','N/A',17,3757
'builderbook',2017,25,0,'2023-11-13T09:59:19Z','JavaScript',298,3755
'codeinterpreter-api',2023,31,9,'2024-04-10T16:17:10Z','Python',47,3751
'nDPI',2015,1469,14,'2024-08-25T11:31:39Z','C',805,3745
'harvester',2020,1570,80,'2024-08-23T08:00:36Z','Go',3367,3723
'open-react-template',2020,3,5,'2023-12-08T09:32:03Z','TypeScript',43,3714
'WhisperSpeech',2023,21,0,'2024-05-20T22:30:32Z','Jupyter Notebook',47,3707
'twill',2018,941,63,'2024-07-10T13:14:49Z','PHP',874,3707
'NanUI',2016,131,1,'2024-06-19T15:50:08Z','C#',204,3701
'contiki',2012,1195,0,'2018-11-03T15:18:37Z','C',528,3698
'quarto-cli',2020,1458,1000,'2024-08-24T16:06:50Z','JavaScript',3527,3694
'Terasology',2011,2616,70,'2024-08-12T23:54:55Z','Java',1652,3661
'Open-Source-Programs',2015,96,0,'2023-01-28T15:11:56Z','JavaScript',67,3645
'choosealicense.com',2013,454,0,'2024-07-14T05:32:01Z','Ruby',300,3641
'miru-app',2023,106,29,'2024-04-16T03:49:12Z','Dart',68,3633
'mapnik',2011,730,16,'2024-08-21T13:00:44Z','C++',2903,3631
'Cap',2023,25,14,'2024-08-14T01:39:59Z','TypeScript',23,3630
'Luotuo-Chinese-LLM',2023,13,0,'2023-09-03T06:27:42Z','Jupyter Notebook',38,3626
'tagspaces',2012,664,211,'2024-08-23T14:37:36Z','TypeScript',1264,3625
'List-Of-Open-Source-Internships-Programs',2020,69,9,'2024-06-25T11:12:13Z','N/A',50,3622
'argos-translate',2020,79,1,'2024-08-18T13:23:15Z','Python',157,3619
'open_flamingo',2022,101,4,'2023-10-11T07:42:37Z','Python',132,3617
'input-leap',2021,432,0,'2024-08-01T17:25:25Z','C++',660,3613
'pocsuite3',2019,150,39,'2024-04-30T05:56:11Z','Python',219,3603
'awesome-unity-open-source-on-github',2019,22,0,'2024-02-15T09:40:08Z','N/A',2,3598
'peatio',2014,118,1,'2023-08-04T00:43:10Z','N/A',0,3596
'best-of-python',2021,159,147,'2024-08-14T02:31:07Z','N/A',5,3581
'openrazer',2015,378,34,'2024-08-07T21:41:55Z','C',1600,3579
'open-iconic',2014,2,0,'2014-07-02T21:45:42Z','CSS',18,3568
'diaphora',2015,46,13,'2024-08-06T10:01:14Z','Python',223,3563
'ConfuserEx',2014,22,12,'2019-01-26T19:43:02Z','C#',319,3560
'dalfox',2020,214,65,'2024-07-07T01:32:26Z','Go',267,3554
'clarity-upscaler',2024,6,0,'2024-06-24T10:26:01Z','Python',31,3543
'Otter',2023,173,3,'2024-03-05T15:56:06Z','Python',103,3543
'deepchecks',2021,1456,60,'2024-02-22T12:17:17Z','Python',726,3538
'gpt-code-ui',2023,16,25,'2023-07-29T12:19:16Z','Python',25,3536
'open-source-cs-degree',2015,13,0,'2020-09-29T20:16:53Z','N/A',2,3533
'open-source-alternatives',2023,21,0,'2024-08-21T09:46:44Z','N/A',3,3524
'OpenCat',2021,47,15,'2024-08-02T08:44:00Z','C++',33,3492
'finch',2022,678,23,'2024-08-24T15:27:18Z','Go',115,3492
'OpenPDF',2016,566,73,'2024-08-07T22:27:49Z','Java',368,3468
'domoticz',2015,2280,13,'2024-08-22T06:08:34Z','C++',2968,3464
'mox',2023,11,10,'2024-08-23T13:08:27Z','Go',125,3463
'minigo',2018,612,1,'2021-03-04T17:42:02Z','C++',248,3457
'photoshot',2022,16,9,'2024-06-13T17:48:47Z','TypeScript',30,3457
'PermissionX',2019,0,0,'2024-08-19T13:32:55Z','Kotlin',213,3451
'openthread',2016,7457,8,'2024-08-23T17:26:35Z','C++',1526,3450
'LumixEngine',2013,241,28,'2024-08-09T17:47:22Z','C++',1183,3439
'openwrt',2020,51,0,'2024-08-20T09:14:05Z','C',0,3424
'lmctfy',2013,17,0,'2015-05-28T16:44:05Z','C++',10,3413
'srsRAN_4G',2013,99,27,'2024-01-31T15:19:46Z','C++',759,3410
'permify',2022,1094,88,'2024-08-25T18:52:33Z','Go',154,3398
'vuestic-ui',2019,1568,57,'2024-08-25T02:03:15Z','Vue',2014,3392
'rallly',2015,696,44,'2024-08-25T12:00:03Z','TypeScript',201,3383
'opensourcepos',2013,486,25,'2024-08-16T23:24:27Z','PHP',2916,3364
't3',2017,157,13,'2024-07-03T16:05:45Z','C#',151,3364
'wysihtml',2013,63,41,'2017-04-14T18:13:11Z','JavaScript',146,3359
'AdelaiDet',2020,67,0,'2024-08-23T00:56:57Z','Python',247,3353
